Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Swag Labs,Chrome 119.0.0.0,,,2023-11-03 06:51:43,2023-11-03 06:52:15,31.447s,PASSED
,,,,,,,
Test Cases/Login Page Swag Labs,Chrome 119.0.0.0,,,2023-11-03 06:51:43,2023-11-03 06:51:51,7.730s,PASSED
"openBrowser("""")",Chrome 119.0.0.0,,,2023-11-03 06:51:44,2023-11-03 06:51:46,1.933s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 119.0.0.0,,,2023-11-03 06:51:46,2023-11-03 06:51:48,2.347s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_user-name""), findTestData(""New Test Data"").getValue(1, 1))",Chrome 119.0.0.0,,,2023-11-03 06:51:48,2023-11-03 06:51:50,2.307s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Swag Labs/input_password""), findTestData(""New Test Data"").getValue(2, 1))",Chrome 119.0.0.0,,,2023-11-03 06:51:50,2023-11-03 06:51:51,0.394s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/input_login-button""))",Chrome 119.0.0.0,,,2023-11-03 06:51:51,2023-11-03 06:51:51,0.387s,PASSED
closeBrowser(),Chrome 119.0.0.0,,,2023-11-03 06:51:51,2023-11-03 06:51:51,0.003s,NOT_RUN
,,,,,,,
Test Cases/New Purchase,Chrome 119.0.0.0,,,2023-11-03 06:51:51,2023-11-03 06:52:03,11.977s,PASSED
"callTestCase(findTestCase(""Login Page Swag Labs""), [:], STOP_ON_FAILURE)",Chrome 119.0.0.0,,,2023-11-03 06:51:51,2023-11-03 06:51:57,5.884s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/Page_Swag Labs/button_Add to cart""))",Chrome 119.0.0.0,,,2023-11-03 06:51:57,2023-11-03 06:51:58,0.441s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/Page_Swag Labs/button_Add to cart_1""))",Chrome 119.0.0.0,,,2023-11-03 06:51:58,2023-11-03 06:51:58,0.529s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/Page_Swag Labs/a_2""))",Chrome 119.0.0.0,,,2023-11-03 06:51:58,2023-11-03 06:51:59,0.540s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/Page_Swag Labs/button_Checkout""))",Chrome 119.0.0.0,,,2023-11-03 06:51:59,2023-11-03 06:51:59,0.542s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/Page_Swag Labs/input_firstName""), findTestData(""New Test Data"").getValue(3, 1))",Chrome 119.0.0.0,,,2023-11-03 06:51:59,2023-11-03 06:52:00,0.740s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/Page_Swag Labs/input_lastName""), findTestData(""New Test Data"").getValue(4, 1))",Chrome 119.0.0.0,,,2023-11-03 06:52:00,2023-11-03 06:52:01,0.743s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/Page_Swag Labs/input_postalCode""), findTestData(""New Test Data"").getValue(5, 1))",Chrome 119.0.0.0,,,2023-11-03 06:52:01,2023-11-03 06:52:01,0.759s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/Page_Swag Labs/input_continue""))",Chrome 119.0.0.0,,,2023-11-03 06:52:01,2023-11-03 06:52:02,0.546s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/Page_Swag Labs/button_Finish""))",Chrome 119.0.0.0,,,2023-11-03 06:52:02,2023-11-03 06:52:03,0.547s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/Page_Swag Labs/button_Back Home""))",Chrome 119.0.0.0,,,2023-11-03 06:52:03,2023-11-03 06:52:03,0.559s,PASSED
closeBrowser(),Chrome 119.0.0.0,,,2023-11-03 06:52:03,2023-11-03 06:52:03,0.001s,NOT_RUN
,,,,,,,
Test Cases/Edit cart,Chrome 119.0.0.0,,,2023-11-03 06:52:03,2023-11-03 06:52:15,11.473s,PASSED
"callTestCase(findTestCase(""Login Page Swag Labs""), [:], STOP_ON_FAILURE)",Chrome 119.0.0.0,,,2023-11-03 06:52:03,2023-11-03 06:52:07,4.077s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/button_Add to cart""))",Chrome 119.0.0.0,,,2023-11-03 06:52:07,2023-11-03 06:52:08,0.433s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/button_Add to cart_1""))",Chrome 119.0.0.0,,,2023-11-03 06:52:08,2023-11-03 06:52:08,0.525s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/button_Add to cart_1_2""))",Chrome 119.0.0.0,,,2023-11-03 06:52:08,2023-11-03 06:52:09,0.538s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/span_3""))",Chrome 119.0.0.0,,,2023-11-03 06:52:09,2023-11-03 06:52:09,0.537s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/button_Remove""))",Chrome 119.0.0.0,,,2023-11-03 06:52:09,2023-11-03 06:52:10,0.545s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/button_Checkout""))",Chrome 119.0.0.0,,,2023-11-03 06:52:10,2023-11-03 06:52:11,0.600s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/Page_Swag Labs/input_firstName""), findTestData(""New Test Data"").getValue(3, 1))",Chrome 119.0.0.0,,,2023-11-03 06:52:11,2023-11-03 06:52:11,0.734s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/Page_Swag Labs/input_lastName""), findTestData(""New Test Data"").getValue(4, 1))",Chrome 119.0.0.0,,,2023-11-03 06:52:11,2023-11-03 06:52:12,0.857s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/Page_Swag Labs/input_postalCode""), findTestData(""New Test Data"").getValue(5, 1))",Chrome 119.0.0.0,,,2023-11-03 06:52:12,2023-11-03 06:52:13,0.837s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/Page_Swag Labs/input_continue""))",Chrome 119.0.0.0,,,2023-11-03 06:52:13,2023-11-03 06:52:14,0.564s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/Page_Swag Labs/button_Finish""))",Chrome 119.0.0.0,,,2023-11-03 06:52:14,2023-11-03 06:52:14,0.551s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/Page_Swag Labs/button_Back Home""))",Chrome 119.0.0.0,,,2023-11-03 06:52:14,2023-11-03 06:52:15,0.564s,PASSED
